Hing3d,4039,Main Tank
farvalkorin,2012,Hitscan
Welsh,2710,Off Tank
benjazzy,3084,Projectile
Zelen,3480,Hitscan
scintilla,2661,Main Healer
churgel,2515,Flex Healer
Ren,3000,Main Healer
Oracle,2700,Main Tank
